Date,Open,High,Low,Close,Adj Close,Volume,Turnover
1/24/2019,96558,97677,96558,97677,97677,517459400,11990846.47
1/28/2019,97674,97937,94783,95444,95444,740750800,20952863.16
1/29/2019,95508,96751,95508,95639,95639,542470300,14333732.07
1/30/2019,95643,97107,95643,96996,96996,635500300,15736059.1
1/31/2019,96996,98405,96996,97394,97394,616081300,15956398.33
2/1/2019,97395,98044,96990,97861,97861,443455300,11070046.6
2/4/2019,97861,98589,96901,98589,98589,441058000,11384673.57
2/5/2019,98587,98587,97596,98311,98311,492130600,13027277.94
2/6/2019,98308,98308,94636,94636,94636,562696600,13973955.72
2/7/2019,94654,95642,93507,94406,94406,578613000,14343312.97
2/8/2019,94401,95486,93424,95343,95343,546650900,13515054.94
2/11/2019,95351,95499,93737,94413,94413,388377100,9950821.24
2/12/2019,94420,96571,94420,96168,96168,506725300,13893456.75
2/13/2019,96169,96804,95389,95842,95842,599421900,15447990.86
2/14/2019,95843,98019,94915,98015,98015,538377800,14359056.91
2/15/2019,98015,98238,97083,97526,97526,472808200,11960007.88
2/18/2019,97527,97527,96239,96510,96510,292478300,7567273.28
2/19/2019,96513,98185,96513,97659,97659,497995200,12176868.99
2/20/2019,97661,98544,96545,96545,96545,608951500,14411126.46
2/21/2019,96546,97231,95793,96932,96932,599392100,13234891.9
2/22/2019,96929,97887,96929,97886,97886,456350600,11394770.31
2/25/2019,97881,98190,97087,97240,97240,449161600,10144598.66
2/26/2019,97242,97904,97235,97603,97603,366498400,9048310.11
2/27/2019,97603,97782,96886,97307,97307,399333000,9949761.79
2/28/2019,97307,97528,95364,95584,95584,558176400,13876440.25
3/1/2019,95584,96113,94394,94604,94604,422592000,10791355.33
3/7/2019,94216,94532,93729,94340,94340,429254300,10309320.12
3/8/2019,94340,95476,93305,95365,95365,425333000,10577873.77
3/11/2019,95384,98027,95384,98027,98027,440784900,11454548.21
3/12/2019,98038,98150,97267,97828,97828,398623800,10008210.1
3/13/2019,97831,99267,97464,98904,98904,499246500,12898668.65
3/14/2019,98905,99036,97776,98605,98605,372840600,9573099.72
3/15/2019,98605,99393,98597,99137,99137,536416200,13897547.7
3/18/2019,99141,100038,99141,99994,99994,436903900,11467976.86
3/19/2019,99991,100439,99373,99588,99588,547288700,14151473.68
3/20/2019,99588,99708,97981,98041,98041,484303500,13033052.74
3/21/2019,98041,98046,95456,96729,96729,555782000,14103455.57
3/22/2019,96725,96725,93380,93735,93735,627527200,16298437.16
3/25/2019,93735,94384,93103,93662,93662,470426800,11855131.61
3/26/2019,93668,95525,93668,95307,95307,488479400,12453420.66
3/27/2019,95297,95297,91903,91903,91903,597688000,14388553.12
3/28/2019,91901,94854,91584,94389,94389,541927700,14233012.53
3/29/2019,94402,95863,94402,95415,95415,486168300,12213985.51
4/1/2019,95423,96752,95423,96054,96054,391204400,9849658.92
4/2/2019,96062,96690,94825,95387,95387,385745400,9376149.39
4/3/2019,95392,96442,94124,94491,94491,444218500,11162977.28
4/4/2019,94503,96394,94334,96313,96313,421258200,10206977.84
4/5/2019,96319,97493,96152,97108,97108,380332100,9121447.19
4/8/2019,97110,97610,96743,97369,97369,353689200,9024107.27
4/9/2019,97366,97366,95488,96292,96292,384886000,9551786.62
4/10/2019,96292,96902,95670,95953,95953,471614300,11326011.08
4/11/2019,95954,95954,94173,94755,94755,363972300,8833367.05
4/12/2019,94747,94768,92516,92875,92875,691976200,17169457.15
4/15/2019,92875,93723,92697,93083,93083,477295500,12059670.56
4/16/2019,93082,95062,92879,94333,94333,472329400,11466435
4/17/2019,94337,95042,92338,93285,93285,665825000,16608702.26
4/18/2019,93285,95140,93285,94578,94578,508594000,12401363.2
4/22/2019,94578,95038,93721,94588,94588,327483700,7817065.44
4/23/2019,94590,96315,94590,95923,95923,444240400,10385056.71
4/24/2019,95923,95923,94163,95045,95045,480287100,11420255.9
4/25/2019,95027,96552,94213,96552,96552,502907500,12408979.84
4/26/2019,96552,96563,95620,96236,96236,388351300,9501512.06
4/29/2019,96254,97123,96004,96188,96188,332517800,8312089.37
4/30/2019,96191,96707,95613,96353,96353,435942800,10478440.49
5/2/2019,96339,96339,95312,95528,95528,398313700,9725595.96
5/3/2019,95521,96315,95521,96008,96008,413899300,9652121.45
5/6/2019,95992,95992,94540,95009,95009,334474500,7649819.51
5/7/2019,95009,95009,92750,94389,94389,505916800,12050789.64
5/8/2019,94389,96312,94389,95597,95597,506855200,12253735.95
5/9/2019,95597,95597,93883,94808,94808,428060100,10715986.54
5/10/2019,94809,94848,93234,94258,94258,422463800,10512824.21
5/13/2019,94252,94252,91600,91727,91727,480678700,10810966.15
5/14/2019,91736,92529,91562,92092,92092,417045600,9879319.71
5/15/2019,92088,92088,90295,91623,91623,494009600,11325861.98
5/16/2019,91622,91622,89778,90024,90024,574227800,14139119.7
5/17/2019,90023,91321,89409,89993,89993,550794900,13284495.78
5/20/2019,90006,92117,89822,91946,91946,476294500,11409912.36
5/21/2019,91946,94573,91946,94485,94485,556391500,13798119.79
5/22/2019,94485,95212,93883,94361,94361,436338200,11103250.93
5/23/2019,94360,94547,93300,93910,93910,390489300,10022252.91
5/24/2019,93912,94900,93545,93628,93628,359250500,9424987.54
5/27/2019,93626,95444,93626,94864,94864,262348200,6725539.46
5/28/2019,94863,96552,94707,96393,96393,658047200,17842027.84
5/29/2019,96389,96986,95690,96567,96567,470004700,11661091.58
5/30/2019,96566,97939,96511,97457,97457,453424600,10954062.37
5/31/2019,97420,97992,96792,97030,97030,524685200,13223181.9
6/3/2019,97036,97757,96430,97020,97020,468864500,11428782.12
6/4/2019,97020,97723,96593,97380,97380,442605200,11185411.07
6/5/2019,97381,97686,95686,95999,95999,388571600,9865430.08
6/6/2019,96002,97462,96002,97205,97205,418025900,10229800.79
6/7/2019,97205,98326,97205,97821,97821,383346200,9404251.75
6/10/2019,97828,97856,96782,97467,97467,369476400,8973148.43
6/11/2019,97467,98985,97467,98960,98960,507460900,13757608.52
6/12/2019,98960,99240,97831,98321,98321,510193700,12344013.68
6/13/2019,98321,99364,98321,98774,98774,576695100,14587006.4
6/14/2019,98776,98981,97601,98040,98040,946903400,14010972.21
6/17/2019,98038,98439,97623,97623,97623,404771300,10448679.98
6/18/2019,97633,99412,97633,99404,99404,466444600,12060860.89
6/19/2019,99403,100327,98978,100303,100303,454765400,12095425.88
6/21/2019,100305,102100,100305,102013,102013,566056000,14937057.03
6/24/2019,102018,102617,101589,102062,102062,366991700,9308313.56
6/25/2019,102061,102061,99890,100093,100093,460741200,11787316.23
6/26/2019,100095,101126,100095,100689,100689,516890400,13153777.5
6/27/2019,100689,101025,99421,100724,100724,428321400,11489652.21
6/28/2019,100726,101563,100726,100967,100967,420606500,10837896.06
7/1/2019,100973,102432,100973,101340,101340,405981400,10877638.49
7/2/2019,101342,101565,100073,100605,100605,510468600,13293304.59
7/3/2019,100576,102177,100451,102043,102043,494973400,11712286.95
7/4/2019,102047,104022,102047,103636,103636,410175100,10225761.28
7/5/2019,103628,104176,102622,104089,104089,433859800,11692211.4
7/8/2019,104090,104679,103988,104530,104530,360861700,9200189.04
7/10/2019,104537,106650,104537,105817,105817,702650100,17499044.15
7/11/2019,105818,105886,104814,105146,105146,499523400,12962386
7/12/2019,105158,105731,103903,103906,103906,489482800,12885799.26
7/15/2019,103909,104578,103495,103803,103803,411905500,10150836.98
7/16/2019,103805,104440,103361,103775,103775,461416500,11574583.95
7/17/2019,103775,104453,103712,103856,103856,393637900,10727474.64
7/18/2019,103859,104773,103859,104717,104717,454726300,11187852.42
7/19/2019,104716,104723,103388,103452,103452,359215100,9626733.65
7/22/2019,103452,104278,103452,103949,103949,357151700,9210418.04
7/23/2019,103949,104430,103518,103704,103704,418948500,11779553.11
7/24/2019,103707,104570,103707,104120,104120,503990000,12665300.51
7/25/2019,102991,103464,102390,102655,102655,600905700,15067627.51
7/26/2019,102654,103209,102196,102819,102819,532376500,13917095.83
7/29/2019,102817,103483,102461,103483,103483,368205800,9583615.49
7/30/2019,103483,103555,102596,102933,102933,420559900,11475415.14
7/31/2019,102946,103129,100950,101812,101812,524576400,14526211
8/1/2019,101819,104056,101819,102126,102126,738887700,20133782.87
8/2/2019,102122,103180,101667,102674,102674,510777300,13856922.65
8/5/2019,102658,102658,99630,100098,100098,517798000,13695793.92
8/6/2019,100098,102178,100098,102164,102164,531378400,13784203.97
8/7/2019,102163,102784,100476,102782,102782,574290800,15076538.72
8/8/2019,102811,104282,102811,104115,104115,570964000,15018687.42
8/9/2019,104102,104848,103547,103996,103996,468999100,12905594.28
8/12/2019,103946,103946,101621,101915,101915,450970600,11661525.08
8/13/2019,101912,103778,101414,103299,103299,519886000,13608109.91
8/14/2019,103270,103270,99955,100258,100258,648518700,15948570.17
8/15/2019,100262,101014,98200,99057,99057,658518500,15122356.58
8/16/2019,99059,100567,99059,99806,99806,548338200,12752567.39
8/19/2019,99810,100948,98908,99469,99469,492400600,12056889.57
8/20/2019,99472,99665,98002,99222,99222,523523700,11408540.47
8/21/2019,99227,101240,99221,101202,101202,596966800,14242069.13
8/22/2019,101209,101469,100011,100011,100011,449549100,11224377.98
8/23/2019,100007,100025,97085,97667,97667,566881700,14044095.71
8/26/2019,97687,98436,95961,96430,96430,413679900,10016037.11
8/27/2019,96434,97951,95855,97276,97276,658167700,16222155.6
8/28/2019,97273,98346,96557,98194,98194,435080900,9998267.55
8/29/2019,98194,100684,98194,100524,100524,516325600,12458556.89
8/30/2019,100526,101551,100526,101135,101135,610956700,15819031.68
9/2/2019,101133,101611,100626,100626,100626,274732700,7044981.72
9/3/2019,100626,101417,99406,99681,99681,439784400,10912791.11
9/4/2019,99706,101201,99706,101201,101201,437822200,11081613.9
9/5/2019,101204,103258,101204,102243,102243,481428300,12953473.31
9/6/2019,102247,103182,102246,102935,102935,397603900,10593316.38
9/9/2019,102937,104260,102793,103181,103181,551678400,14747193.47
9/10/2019,103180,103503,102231,103032,103032,547890200,13594915.14
9/11/2019,103036,104156,103036,103446,103446,487696100,12879795.15
9/12/2019,104389,104618,103733,104371,104371,496245100,13175156.09
9/13/2019,104371,104699,103275,103501,103501,403944700,11132048.07
9/16/2019,103496,104005,102782,103680,103680,603865000,16282369.83
9/17/2019,103680,104619,103079,104617,104617,457493900,12495141.56
9/18/2019,104616,104762,103684,104532,104532,388212100,10104737.26
9/19/2019,104555,106001,104286,104339,104339,491569000,12536834.55
9/20/2019,104339,105045,103914,104817,104817,676909500,18399055.53
