"","PriceCl","ClxBB","pnADX","ClxSAR","MACD","CCI","RSI","STO","OBV","AD","ClxVWAP5","ClxVWAP20","RotGer"
"751",13834,-0.146683981250964,-13.656615984425,-0.0203604144596333,0.569432834510935,-53.4888062868095,45.3238367102588,-0.151132174828856,-77.7816312096364,98.2410146290701,-0.000760502899677021,-0.00045510344614181,"-1"
"752",13915,0.0555937853877139,-13.5504003014972,-0.0131834996735527,0.468999112916949,-28.0902902185601,46.71135141766,0.0987258804251585,-72.2869036415185,103.435758219507,-0.000261977240319673,0.000217876859965127,"-1"
"753",13771,-0.266890241857689,-13.5461181869629,-0.0220226516978637,0.40803161471535,-62.3744434089255,44.5986967953481,-0.107027809402772,-77.6796466240374,100.843956757017,-0.000944624815582127,-0.000858179982527709,"-1"
"754",13829,-0.108327250090309,-13.5421419377525,-0.0165764087578441,0.289326974859295,-61.0839202578502,45.6385027081469,-0.0173805090006199,-72.1358196676208,105.171409971917,-0.000189304502339946,-0.000285322093773328,"-1"
"755",13659,-0.479203624581218,-14.0629616011721,-0.0274038100516364,0.148133644125345,-127.883859373245,43.1462852215888,-0.175046554934822,-77.8982634163355,101.528240642745,-0.0010783677005083,-0.00152906092612755,"-1"
"756",13509,-0.681451515240435,-15.3107769252821,-0.0368835276096229,0.0196052052876186,-226.34889451826,41.0685256123138,-0.0852415740683889,-83.4263087781905,99.4120973774566,-0.00174052731982135,-0.00258989474889015,"-1"
"757",13044,-1.01651678512015,-17.5826936953822,-0.067597099917606,-0.175595692798297,-357.23840455987,35.5034237459615,-0.0559332295650561,-89.0550236950371,94.5671028424703,-0.00405818067397201,-0.00585411397929235,"-1"
"758",13115,-0.690854343630343,-19.895676956458,-0.0572403978398486,-0.321816036981305,-291.186508733186,36.8748149689959,0.0550795576373005,-83.4922725645595,96.1310296586094,-0.00248192643845498,-0.00491722052545975,"-1"
"759",12892,-0.720263525718209,-22.1083732841906,-0.0665924509214893,-0.580436607617105,-245.580725812561,34.4584826242048,-0.0608821586083027,-89.0866115928539,90.7630063605838,-0.00282511340208219,-0.00638082003180775,"-1"
"760",12952,-0.555040798196922,-24.2369443045783,-0.0546446217369016,-0.790037334235969,-185.883018385954,35.649759410278,-0.0044896955585888,-83.427900610446,88.7713476072263,-0.00119235065489348,-0.00549221437701587,"-1"
"761",12751,-0.587055643318884,-26.5346027969818,-0.0611835270466701,-1.1101683838333,-178.721317218426,33.5074987926398,-0.00495026302319335,-88.9431054301452,84.9815755445668,-0.00164110123938149,-0.00671828713021096,"-1"
"762",13001,-0.359347723644734,-28.7134539003399,-0.0327612222545176,-1.24111687774526,-134.602536343953,38.3459933407614,0.109226326189391,-83.4496706211492,90.2752967499615,0.000482030303307914,-0.00432943187294079,"-1"
"763",12996,-0.321984970097599,-30.4183921691554,-0.0231870034465739,-1.21181007000194,-104.710196831217,38.2874855463338,0.0625775172569577,-88.8157064261302,92.8528519511448,0.000638507783302682,-0.00410036807226119,"-1"
"764",13018,-0.279675212892428,-31.4905741954099,-0.0132094740579886,-1.20960122361326,-82.3684547830909,38.7194602265898,0.0335937964503931,-83.3801170601236,92.2385139102319,0.000612532397970513,-0.00363879397587099,"-1"
"765",13077,-0.223552009693587,-31.9725173765592,-0.0079654073736914,-1.17126850693119,-63.6882679506398,39.9039989257753,0.0482758216313784,-77.9909694292351,90.9870158203766,0.000889702949919289,-0.00290692949751104,"-1"
"766",12892,-0.300793006702678,-33.0532401948899,-0.0219996965559096,-1.16095061699605,-80.153271406954,37.516423411731,-0.0829941731162699,-83.4313201312913,88.81115180042,-0.000852417970946526,-0.00404622258907511,"-1"
"767",12841,-0.298414063890435,-34.0811721428185,-0.0208174470032027,-1.09625835313874,-83.3393613173623,36.8777297297622,-0.0713459265320959,-89.0015798585401,86.876775865277,-0.00100354185806161,-0.004073378357757,"-1"
"768",12800,-0.291835881237593,-35.2874025014062,-0.0181082320885298,-0.946726354250602,-86.8225111898343,36.3552833727425,-0.0342291780323687,-94.2585174615401,88.1835231317473,-0.00102912954259976,-0.00393700889964373,"-1"
"769",12767,-0.291241633996727,-35.7471946960316,-0.01581458837985,-0.622971550831458,-75.2609846871701,35.9251574762197,-0.0240736880113903,-99.8035107827964,82.638529810491,-0.000885991116870418,-0.003707319923709,"-1"
"770",12591,-0.368039143728892,-36.978247065167,-0.0274967173862671,-0.444629351913862,-107.086876771719,33.6928508750953,0.0210001613900664,-105.548541955275,81.7713742706611,-0.00154110995460785,-0.00463002829872393,"-1"
"771",12255,-0.521116864600844,-38.543901319183,-0.0463035019455253,-0.287009738423292,-144.744816113124,29.9609763488245,-0.0659565055624513,-111.003287800093,76.4437768079231,-0.00334555009127189,-0.00685219301438276,"-1"
"772",11922,-0.627538675382505,-40.5364763629671,-0.062604672666458,-0.271582175749536,-199.206106870229,26.8645350108741,-0.0316181056625147,-116.555670796684,71.5925156970173,-0.00468435049352371,-0.00894936460395377,"-1"
"773",11113,-0.763797319836512,-43.3525123527818,-0.11252814147469,-0.409955165422387,-323.076923076922,21.2597533006162,0.102773159964415,-122.170360861775,73.5028688122002,-0.00918502877908716,-0.0152499415625077,"-1"
"774",10306,-0.829259361550679,-46.1552284284703,-0.14472351411148,-0.896437347716557,-293.103290912795,17.4471747660409,-0.0565518115382966,-127.671987582864,68.2128103415494,-0.0127559233318585,-0.0217037998557014,"-1"
"775",10034,-0.685626316678727,-49.0121183420241,-0.131791465016113,-1.44224338764933,-265.399666146729,16.4059451748344,0.0348950823762299,-133.219860516277,70.2867859575713,-0.0107423972701651,-0.0229168447464332,"-1"
"776",10550,-0.45978795504226,-50.5777488829043,-0.0365201671776571,-1.81657093085008,-173.979184430278,25.287422414354,0.138194198856531,-127.588262295778,75.374198665691,-0.0021806403068056,-0.0162925683504035,"-1"
"777",10554,-0.401549460173054,-51.5880160127255,-0.0143817706387747,-2.20018282835712,-133.738141269849,25.3519770915747,0.0478669955238887,-121.967706729634,76.5709890773957,0.000477708613127225,-0.0151250285717839,"-1"
"778",10745,-0.317506308200074,-52.0929229315148,0.127137312493444,-2.31006654223067,-103.802854653889,28.4515160880631,0.0352608020462236,-116.335126485739,79.3184020306108,0.00314634152135898,-0.0121569684173333,"-1"
"779",10543,-0.327197162858025,-52.5754232914639,0.105947760411203,-2.44745013832024,-97.0747494024812,27.1974669500545,-0.0159534118426498,-121.977347614168,77.0120405253062,0.000608021681351547,-0.0131022009844753,"-1"
"780",10419,-0.314218041425071,-53.498149590423,0.0869973458861234,-2.5290632793354,-102.098784514859,26.4461364997768,-0.0318181840413618,-127.642331720339,81.3221762329473,-0.00146637795261099,-0.0131915024558879,"-1"
"781",10533,-0.262191959145821,-53.6830180997078,0.0931842592426533,-2.5480464180314,-74.7184989527446,28.3566533086538,0.0148037593922939,-122.031158424375,79.4646982612456,-0.000257258238481437,-0.0110162405583081,"-1"
"782",10229,-0.298337786748685,-54.0831954989354,0.0563668651361585,-2.57785895079594,-78.9703565228998,26.4341431538233,-0.0481821191795541,-127.671843643729,74.7976062190207,-0.00274467211092528,-0.0128723476409364,"-1"
"783",10006,-0.313765350780176,-54.699399864551,0.0284397158012628,-2.61005828737626,-86.6412848614778,25.1222663209042,-0.0681171296057351,-133.202449211156,72.5914459212609,-0.00360624811518421,-0.0138744136266534,"-1"
"784",10405,-0.202585238333123,-55.2715896326227,-0.0397748246585456,-2.2858439025384,-72.595942263046,31.5081910261194,0.072913194696813,-127.614647132409,77.3663646058559,0.000911879852326303,-0.00851232738378009,"-1"
"785",10636,-0.132229151858438,-54.9280891330414,-0.0184569952011812,-1.46308895401652,-44.75363445075,34.8840689998208,0.128301285275995,-121.910941531758,80.1548826654652,0.00283196336643982,-0.00507641452821074,"-1"
"786",10501,-0.144047296803294,-54.6739313317742,-0.0268526035237555,-0.268910729266111,-46.6172058261956,33.8599612613207,0.130604502256111,-127.401870957576,80.4864702207829,0.0015227744865491,-0.00537639936275385,"-1"
"787",10351,-0.162946653620855,-54.5017047785986,-0.0368770303648267,0.847869183392481,-49.8655130287504,32.7386502899658,0.01941772536768,-132.910938262853,77.2287754562338,-0.000293516153226268,-0.00577539494607489,"-1"
"788",10233,-0.177307783057544,-54.4714944190124,-0.0441483717206786,1.49073028849689,-58.1094280958077,31.8669637337852,0.00948179383094949,-138.536134550235,74.5855463744691,-0.0020077718355752,-0.00586079150221159,"-1"
"789",10062,-0.219258263903801,-54.6311696370539,-0.0565941287057991,1.93512016149438,-67.9260628979782,30.6261807727149,-0.136642330083755,-144.148340845714,70.3245607656293,-0.00310356248067263,-0.00640865929770049,"-1"
"790",10197,-0.1612331607188,-54.8266493246981,-0.040479812802392,2.18731195892335,-68.7430448600955,32.7952918461152,0.00571828732307289,-138.692194915949,72.9866644386221,-0.000738527334791148,-0.00381911135321863,"-1"
"791",10095,-0.211746870201124,-55.0081661775105,-0.0467691287406704,2.43115660755012,-82.7680080354571,32.0014900275322,-0.0203359858532263,-143.930036852689,73.8143050017163,-0.000990401802652401,-0.00389309506071454,"-1"
"792",10284,-0.0904428747216627,-54.5014567452138,-0.0256646134849062,2.64149066924196,-50.9581955397258,35.0596899888843,0.120723661837721,-138.479991772089,77.3491052592976,0.00116341154049781,-0.00109516153999975,"0"
"793",10462,0.144594673860582,-53.4257590816185,-0.00559758773232653,2.72322974782589,5.266899070639,37.824914333847,0.194887345590698,-132.969514873713,82.8595821576738,0.00253977711764532,0.0010909358564989,"0"
"794",10785,0.51737042068279,-51.1613050972212,0.1112828438949,3.09131770252467,116.03435048383,42.4907112305691,0.223176574303038,-127.381285443994,88.2805207311756,0.00428349259386755,0.00413243771485797,"0"
"795",11329,0.921454197724864,47.5538638578388,0.167336424523442,3.79888659420207,235.49085185914,49.2284687280705,0.0843765852102445,-121.699847868469,93.9445695186916,0.00724828061009349,0.00878300273147441,"0"
"796",11258,0.635783148566294,44.5623303317004,0.152302968270215,4.09523643500433,239.200066384536,48.4505665504258,-0.0799913535222438,-127.307537368842,91.7338621396609,0.00425917926167043,0.00774781022876831,"0"
"797",11271,0.530274227380631,41.8096463935534,0.14167924394518,4.07810025710012,196.057813635149,48.606697674848,-0.0390783945101209,-121.575682774333,89.8110939481338,0.0024226459700099,0.00750400947192257,"0"
"798",10995,0.313307112870674,-39.0035089605925,0.0993553248392513,3.91599641484095,119.727649145694,45.5324315272821,-0.136836581391903,-127.043434580239,85.9948085569919,-0.00128791210504486,0.00470773658062672,"0"
"799",11332,0.474877715010862,36.4501316188352,0.119761659699112,3.69739111156824,133.304408348476,49.6178118250168,0.080963795255931,-121.345265327527,89.9489167661093,0.000891028601092243,0.00756577070432606,"0"
"800",11700,0.585142399323885,34.8539475850551,0.143783357403415,3.42358998820241,166.825910931177,53.6075891756295,0.133310344827587,-115.784665234715,94.8771849873861,0.00363418490603115,0.0103818435537823,"0"
"801",11613,0.456468828422047,33.5515625163236,0.118916680796444,3.15492137449129,151.528295008128,52.5741040084135,-0.0308843619994174,-121.448255867333,90.7257829499583,0.00216413759031621,0.00903690943294537,"0"
"802",11468,0.341121958582178,31.8536457982408,0.0870457257443432,2.91713780170481,111.417779192801,50.8582610889736,-0.0832195288494357,-127.007534105584,86.9722001575414,0.000443255975916604,0.00705881814727372,"0"
"803",11724,0.415340136674948,29.9004239480252,0.0956916257371625,2.89135818119985,107.088208950913,53.6617968383128,0.0672900623395682,-121.40717096706,91.2090563728393,0.00145315456872053,0.00857618924028229,"0"
"804",11781,0.388860677504413,28.4684741813649,0.0875666057921321,2.89149552975019,117.722889386751,54.2717054592598,0.0267159842919287,-115.869592399252,89.1900991999184,0.0011343432599953,0.00842548495770382,"0"
"805",11377,0.191210388002663,-26.8376397008592,0.0356606634450296,2.5965376988918,72.5607963375205,49.4298615429219,-0.161175684403931,-121.408431102536,84.7961625676633,-0.00199956421686198,0.00430526610106218,"0"
"806",11024,0.0281061573683853,-26.0529887695267,0,1.96495702581842,26.5113094274126,45.6901147047509,-0.234772766655455,-126.948256916806,79.2563367533936,-0.00426220303566807,0.00065715572086108,"0"
"807",11365,0.1589319359102,-25.3243843332893,0.0309325108853411,1.20568920911982,36.8546896759117,49.5608174614696,0.0251487586193431,-121.318341740584,84.886251929616,-0.000808163608833645,0.00342891328971833,"1"
"808",11388,0.150759722202737,-24.2209250095582,0.0308681089888658,0.513004491353094,45.4054401646206,49.8141291077049,0.0163609282024617,-115.786693085893,86.6619145548612,3.39962986804342e-05,0.00306616317404549,"1"
"809",12165,0.474004157076001,23.5195765268768,0.0890993376771968,0.120803120708254,115.649113307162,57.4025765556628,0.266504122546613,-110.037541691959,92.2416101325301,0.00636290960269776,0.00910491886816995,"1"
"810",12416,0.529944775095076,23.4569895002557,0.0957612748504642,0.213196985794516,169.061810672549,59.4807184784489,0.121188149076672,-104.162084075461,95.9086917256272,0.0066053218568296,0.0102113346339771,"1"
"811",12616,0.552153232725884,24.2052541053616,0.0934354394856572,0.255075071211173,196.229481170958,61.0697223200743,-0.100087950647784,-98.2828892144903,95.2517766002157,0.00541399676845814,0.0107298492486505,"1"
"812",12554,0.471383216699424,24.9000712386742,0.0614912844320282,0.052151317980619,175.127083658021,60.3000044869427,-0.0645721825077789,-104.038986950796,91.7510459261182,0.00279055042689603,0.00913280467002046,"1"
"813",12731,0.50809677912612,25.352092022583,0.0558305555283479,0.0172389324894171,157.381869669731,61.7453148323718,0.0412947112869635,-98.2427102459547,96.0773794792049,0.00197962114191269,0.00956931480742375,"1"
"814",12567,0.398910652751803,25.2095913584119,0.027303196272378,0.0315511579298535,123.212652278892,59.6331947261663,-0.0302430217191927,-103.882025533677,97.5487273665121,-7.70353954699585e-05,0.00736731510712729,"1"
"815",12918,0.486835406312805,25.6550960480688,0.0559960761873621,-0.0574654007028439,146.618748308323,62.5147538566652,0.0566982312952036,-98.0903164678738,99.3387934382627,0.00199305618717424,0.00958708992269097,"1"
"816",12826,0.389525901560135,26.0687789741788,0.0324880337325577,-0.185336704776051,127.729432700394,61.3102552815165,0.0126793089665597,-103.839992588529,96.3955523949086,0.000884251631014909,0.00811977059324102,"1"
"817",12883,0.364975256437915,26.4529131198524,0.0248868917229074,-0.0864382144304949,114.065801862121,61.7892009087394,0.00354267310789147,-98.1903991581515,94.3617108280463,0.000807645537383577,0.00787168779829677,"1"
"818",12987,0.364563934672092,26.9828915961808,0.0237744980014177,0.297508267245154,109.44222123413,62.6744079028939,0.0298075787262818,-92.4036643558939,92.78527982578,0.00123150612924315,0.00784253398761422,"1"
"819",12638,0.202790915570632,26.4617925676611,-0.0379843190987288,0.391498594987701,73.3286666948999,57.9445036399009,-0.0997975876656498,-98.1167681711634,87.6531161681176,-0.0017606635083194,0.00435833142892702,"1"
"820",12794,0.242028728610244,25.7792591669144,-0.0261094618253787,0.626313566014694,64.3829221691925,59.3831588584924,-0.00702780916495416,-92.4687225958343,91.737500491302,-0.000259525941404314,0.00519102381328371,"1"
"821",13019,0.301302065405034,25.6604501061586,-0.00723811034381787,0.56960659575354,82.4586606351447,61.383719067371,0.0932879306150404,-87.0469722179757,95.6411815718552,0.00127980317497481,0.00644856968142738,"1"
